City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Marsaxlokk,35.8419,14.5431,58.08,77,20,13.8,MT,2022-04-17 18:47:16
148,Tessalit,20.1986,1.0114,79.66,18,0,8.86,ML,2022-04-17 18:47:16
149,Qaanaaq,77.484,-69.3632,-11.15,76,6,1.14,GL,2022-04-17 18:46:28
150,Aipe,3.2222,-75.2367,90.39,63,99,1.41,CO,2022-04-17 18:47:16
151,Jampur,29.6441,70.5954,88.68,16,70,8.12,PK,2022-04-17 18:47:17
152,Barrow,71.2906,-156.7887,-5.78,84,0,8.05,US,2022-04-17 18:47:17
153,Constitucion,-35.3333,-72.4167,61.68,69,41,5.46,CL,2022-04-17 18:47:17
154,Russkaya Polyana,49.417,31.9201,37.31,80,100,6.8,UA,2022-04-17 18:47:18
155,Saskylakh,71.9167,114.0833,27.05,96,100,16.06,RU,2022-04-17 18:47:18
156,Lagoa,39.05,-27.9833,57.31,68,16,14.7,PT,2022-04-17 18:47:19
157,Severo-Kurilsk,50.6789,156.125,28.74,80,73,9.55,RU,2022-04-17 18:47:19
158,Bara,10.3744,10.7288,86.88,45,100,5.03,NG,2022-04-17 18:47:19
159,Saint-Philippe,-21.3585,55.7679,76.59,89,67,12.17,RE,2022-04-17 18:47:19
160,Kidal,18.4411,1.4078,83.39,12,100,8.37,ML,2022-04-17 18:47:20
161,Khandyga,62.6667,135.6,5.41,98,99,3.53,RU,2022-04-17 18:47:20
162,Santa Cruz Del Sur,20.7147,-77.9956,81.82,60,0,8.48,CU,2022-04-17 18:47:20
163,Machachi,-0.5,-78.5667,65.7,95,100,3.42,EC,2022-04-17 18:47:21
164,Coihaique,-45.5752,-72.0662,56.01,71,0,3.44,CL,2022-04-17 18:46:26
165,Nhamunda,-2.1861,-56.7131,84.61,73,100,1.97,BR,2022-04-17 18:47:21
166,Carnarvon,-24.8667,113.6333,68.07,83,100,12.66,AU,2022-04-17 18:47:22
167,El Carmen,8.5106,-73.4478,77.22,73,100,0.74,CO,2022-04-17 18:47:22
168,Inhambane,-23.865,35.3833,73.15,91,100,7.45,MZ,2022-04-17 18:47:22
169,Saldanha,-33.0117,17.9442,62.65,85,0,10.89,ZA,2022-04-17 18:47:22
170,Ilulissat,69.2167,-51.1,19.42,63,75,5.75,GL,2022-04-17 18:47:23
171,Mackenzie,55.2999,-123.1698,34.02,55,0,3.44,CA,2022-04-17 18:47:23
172,Seoul,37.5683,126.9778,49.6,71,75,8.05,KR,2022-04-17 18:47:23
173,Awjilah,29.1081,21.2869,69.35,51,56,18.12,LY,2022-04-17 18:47:24
174,Kalemie,-5.9475,29.1947,72.14,83,7,1.43,CD,2022-04-17 18:47:24
175,Necochea,-38.5473,-58.7368,69.28,53,53,8.12,AR,2022-04-17 18:47:24
176,Praya,14.9215,-23.5087,77.54,61,20,17.27,CV,2022-04-17 18:47:25
177,Westport,41.1415,-73.3579,51.57,40,40,20.71,US,2022-04-17 18:47:25
178,Winneba,5.3511,-0.6231,81.23,82,100,14.85,GH,2022-04-17 18:47:25
179,Aksu,41.1231,80.2644,59.02,15,43,7.07,CN,2022-04-17 18:47:26
180,Basoko,1.2391,23.616,78.33,71,13,3.67,CD,2022-04-17 18:47:26
181,Yuci,37.6803,112.7319,49.75,53,20,4.47,CN,2022-04-17 18:48:26
182,Fougamou,-1.2154,10.5838,75.63,97,100,3.11,GA,2022-04-17 18:48:27
183,Dalbandin,28.8947,64.4101,82.6,22,58,21.72,PK,2022-04-17 18:48:27
184,Jalu,29.0331,21.5482,70.81,46,90,17.78,LY,2022-04-17 18:46:25
185,Victoria,22.2855,114.1577,72.18,79,100,5.99,HK,2022-04-17 18:44:53
186,Katsuura,35.1333,140.3,58.93,72,91,7.05,JP,2022-04-17 18:48:27
187,Kulhudhuffushi,6.6221,73.07,84.47,73,100,8.97,MV,2022-04-17 18:48:28
188,Oistins,13.0667,-59.5333,84.29,61,75,21.85,BB,2022-04-17 18:46:51
189,Aksarka,66.5606,67.7975,7.54,89,47,7.63,RU,2022-04-17 18:48:28
190,Tonneins,44.3921,0.3124,66.42,62,100,10.22,FR,2022-04-17 18:48:28
191,Arlit,18.7369,7.3853,82.38,10,100,3.42,NE,2022-04-17 18:48:29
192,Emerald,-23.5333,148.1667,60.94,77,0,3.44,AU,2022-04-17 18:48:29
193,Dikson,73.5069,80.5464,-3.71,100,62,7.0,RU,2022-04-17 18:48:29
194,Ruteng,-8.6136,120.4721,63.59,92,100,1.3,ID,2022-04-17 18:48:29
195,Vao,-22.6667,167.4833,77.16,68,11,3.47,NC,2022-04-17 18:48:30
196,Lasa,46.6166,10.7002,54.48,84,37,5.82,IT,2022-04-17 18:48:30
197,Lebu,-37.6167,-73.65,58.55,77,100,10.07,CL,2022-04-17 18:46:14
198,Coquimbo,-29.9533,-71.3436,62.15,74,4,11.1,CL,2022-04-17 18:46:38
199,Puerto Escondido,15.85,-97.0667,88.81,55,50,11.27,MX,2022-04-17 18:48:31
200,Salekhard,66.53,66.6019,6.46,92,80,5.44,RU,2022-04-17 18:48:31
201,Yelabuga,55.7613,52.0649,33.35,99,100,11.86,RU,2022-04-17 18:48:31
202,Kenora,49.8167,-94.4337,29.37,64,100,4.61,CA,2022-04-17 18:48:32
203,Nieuw Amsterdam,5.8833,-55.0833,89.76,71,75,11.5,SR,2022-04-17 18:48:32
204,Nakonde,-9.3421,32.745,59.58,96,9,5.93,ZM,2022-04-17 18:48:32
205,Bubaque,11.2833,-15.8333,75.38,77,31,21.39,GW,2022-04-17 18:48:32
206,Beloha,-25.1667,45.05,73.69,85,51,13.22,MG,2022-04-17 18:48:33
207,Green River,41.5286,-109.4662,46.98,39,94,14.0,US,2022-04-17 18:48:33
208,Takoradi,4.8845,-1.7554,79.63,85,99,12.15,GH,2022-04-17 18:48:33
209,Noyabrsk,63.1994,75.4507,10.33,95,61,4.88,RU,2022-04-17 18:44:03
210,Klaksvik,62.2266,-6.589,49.12,94,100,11.68,FO,2022-04-17 18:48:34
211,Bintulu,3.1667,113.0333,77.41,100,20,1.14,MY,2022-04-17 18:48:34
212,Tambacounda,13.7539,-13.7586,107.65,13,0,2.3,SN,2022-04-17 18:48:34
213,Kafue,-15.7691,28.1814,64.71,91,9,4.05,ZM,2022-04-17 18:48:35
214,Ewa Beach,21.3156,-158.0072,78.75,70,0,12.66,US,2022-04-17 18:48:35
215,Tofield,53.3668,-112.6686,35.28,52,100,4.7,CA,2022-04-17 18:48:35
216,Ocampo,21.65,-101.5,84.11,9,40,10.51,MX,2022-04-17 18:47:41
217,Thompson,55.7435,-97.8558,30.36,37,40,4.61,CA,2022-04-17 18:46:20
218,Salalah,17.0151,54.0924,82.49,89,40,4.61,OM,2022-04-17 18:48:36
219,Gornopravdinsk,60.05,69.9,24.4,97,82,4.29,RU,2022-04-17 18:47:26
220,Gisborne,-38.6533,178.0042,58.95,79,100,9.4,NZ,2022-04-17 18:44:50
221,Rawson,-43.3002,-65.1023,66.38,56,2,25.59,AR,2022-04-17 18:48:36
222,Lahat,-3.8,103.5333,73.47,98,65,2.06,ID,2022-04-17 18:48:37
223,Yumen,40.2833,97.2,44.67,23,0,8.08,CN,2022-04-17 18:48:37
224,Mikhaylovka,50.06,43.2379,57.78,64,100,8.05,RU,2022-04-17 18:48:37
225,Heilbron,-27.2812,27.9709,52.12,95,100,5.97,ZA,2022-04-17 18:48:37
226,Livingston,55.9029,-3.5226,61.16,52,0,6.91,GB,2022-04-17 18:48:38
227,Groa,62.65,8.7167,42.21,65,100,7.92,NO,2022-04-17 18:48:38
228,Namatanai,-3.6667,152.4333,80.56,78,99,7.9,PG,2022-04-17 18:48:38
229,Kahului,20.8947,-156.47,77.02,71,20,13.8,US,2022-04-17 18:48:39
230,Kruisfontein,-34.0033,24.7314,60.89,90,0,3.65,ZA,2022-04-17 18:49:39
231,Shenzhen,22.5455,114.0683,72.07,86,100,4.12,CN,2022-04-17 18:49:39
232,Ahipara,-35.1667,173.1667,68.04,92,100,14.79,NZ,2022-04-17 18:49:40
233,Tarko-Sale,64.9225,77.785,1.49,91,23,9.17,RU,2022-04-17 18:49:40
234,Aguas Vermelhas,-15.7472,-41.46,66.99,89,100,5.32,BR,2022-04-17 18:49:40
235,Salihorsk,52.7876,27.5415,35.67,62,86,6.38,BY,2022-04-17 18:49:41
236,Kavieng,-2.5744,150.7967,82.85,72,100,12.17,PG,2022-04-17 18:49:41
237,Byron Bay,-28.65,153.6167,64.29,87,99,7.36,AU,2022-04-17 18:47:31
238,Vestmannaeyjar,63.4427,-20.2734,43.63,69,34,7.7,IS,2022-04-17 18:47:56
239,Tiznit,29.5833,-9.5,77.5,20,100,5.97,MA,2022-04-17 18:49:41
240,Campo Alegre,-9.7819,-36.3508,84.92,60,76,13.71,BR,2022-04-17 18:49:42
241,Luanda,-8.8368,13.2343,80.6,83,75,14.97,AO,2022-04-17 18:48:43
242,Luwuk,-0.9516,122.7875,77.0,77,39,2.86,ID,2022-04-17 18:49:42
243,Ponta Do Sol,32.6667,-17.1,73.13,43,100,11.27,PT,2022-04-17 18:49:43
244,Hammerfest,70.6634,23.6821,41.45,93,75,5.75,NO,2022-04-17 18:49:43
245,Iqaluit,63.7506,-68.5145,-0.31,64,40,19.57,CA,2022-04-17 18:46:22
246,Hervey Bay,-25.2986,152.8535,64.02,90,31,11.01,AU,2022-04-17 18:49:43
247,Serendah,3.3646,101.6041,80.38,94,92,2.57,MY,2022-04-17 18:49:44
248,Laguna,38.421,-121.4238,68.77,50,0,3.44,US,2022-04-17 18:49:44
249,Aberdeen,57.1437,-2.0981,51.49,86,20,5.75,GB,2022-04-17 18:49:44
250,Lerwick,60.1545,-1.1494,48.2,89,100,15.35,GB,2022-04-17 18:49:45
251,Yerofey Pavlovich,53.9667,121.9667,27.28,57,100,0.18,RU,2022-04-17 18:49:45
252,Galesong,-5.3166,119.3661,77.02,85,100,4.94,ID,2022-04-17 18:49:45
253,Taoudenni,22.6783,-3.9836,83.73,19,0,12.1,ML,2022-04-17 18:46:24
254,Vostok,46.4856,135.8833,23.11,84,14,4.65,RU,2022-04-17 18:49:46
255,Candolim,15.5181,73.7626,81.73,69,5,4.54,IN,2022-04-17 18:49:46
256,Iquitos,-3.7481,-73.2472,82.44,83,75,3.44,PE,2022-04-17 18:49:46
257,Vidim,56.4088,103.1106,42.64,92,100,5.93,RU,2022-04-17 18:49:47
258,Amazar,53.858,120.875,28.15,78,100,2.13,RU,2022-04-17 18:49:47
259,Sant Julia De Loria,42.4625,1.4825,64.2,42,0,9.22,AD,2022-04-17 18:49:47
260,Fereydunshahr,32.941,50.121,42.55,36,0,4.74,IR,2022-04-17 18:49:48
261,Yellowknife,62.456,-114.3525,14.56,41,20,9.22,CA,2022-04-17 18:46:26
262,Kristiansund,63.1115,7.732,54.25,43,0,4.61,NO,2022-04-17 18:49:48
263,Dingle,10.9995,122.6711,76.03,89,53,7.34,PH,2022-04-17 18:46:29
264,Leon,21.1167,-101.6667,87.85,50,62,7.16,MX,2022-04-17 18:48:17
265,Souillac,-20.5167,57.5167,77.38,100,40,3.44,MU,2022-04-17 18:47:47
266,Asfi,32.2994,-9.2372,68.13,71,100,17.29,MA,2022-04-17 18:49:49
267,Mastic Beach,40.7668,-72.8521,52.05,35,75,17.27,US,2022-04-17 18:49:49
268,Mount Gambier,-37.8333,140.7667,55.31,94,100,14.97,AU,2022-04-17 18:49:49
269,Biak,-0.9131,122.8766,75.63,77,51,2.64,ID,2022-04-17 18:49:50
270,Kuito,-12.3833,16.9333,60.71,92,37,2.1,AO,2022-04-17 18:50:50
271,Aklavik,68.2191,-135.0107,15.8,45,75,11.5,CA,2022-04-17 18:50:50
272,Alassio,44.0039,8.1671,60.64,55,0,9.22,IT,2022-04-17 18:50:51
273,Pathankot,32.2833,75.65,78.06,27,5,6.82,IN,2022-04-17 18:50:51
274,Cururupu,-1.8283,-44.8683,82.33,80,98,4.63,BR,2022-04-17 18:47:23
275,Vangaindrano,-23.35,47.6,72.95,89,10,3.98,MG,2022-04-17 18:50:51
276,Broome,42.2506,-75.833,42.46,54,100,13.8,US,2022-04-17 18:46:51
